Wavenumber [cm^-1],BACs [cm^5 molecule^-2] T = 349 K,Sistematic errors [cm^5 molecule^-2]
4173,8.063e-44,3.7e-45
4174,8.053e-44,3.7e-45
4175,8.039e-44,3.7e-45
4176,8.031e-44,3.69e-45
4177,8.013e-44,3.69e-45
4178,8.004e-44,3.69e-45
4179,7.991e-44,3.68e-45
4180,7.97e-44,3.68e-45
4181,7.943e-44,3.67e-45
4182,7.939e-44,3.67e-45
4183,7.928e-44,3.67e-45
4184,7.907e-44,3.66e-45
4185,7.883e-44,3.65e-45
4186,7.864e-44,3.65e-45
4187,7.857e-44,3.65e-45
4188,7.841e-44,3.64e-45
4189,7.811e-44,3.63e-45
4190,7.768e-44,3.62e-45
4191,7.73e-44,3.61e-45
4192,7.702e-44,3.6e-45
4193,7.681e-44,3.59e-45
4194,7.645e-44,3.58e-45
4195,7.602e-44,3.57e-45
4196,7.562e-44,3.56e-45
4197,7.532e-44,3.55e-45
4198,7.507e-44,3.54e-45
4199,7.467e-44,3.53e-45
4200,7.429e-44,3.52e-45
4201,7.402e-44,3.51e-45
4202,7.353e-44,3.49e-45
4203,7.317e-44,3.48e-45
4204,7.284e-44,3.47e-45
4205,7.248e-44,3.46e-45
4206,7.209e-44,3.45e-45
4207,7.165e-44,3.44e-45
4208,7.132e-44,3.42e-45
4209,7.087e-44,3.41e-45
4210,7.04e-44,3.4e-45
4211,7.003e-44,3.39e-45
4212,6.961e-44,3.37e-45
4213,6.922e-44,3.36e-45
4214,6.891e-44,3.35e-45
4215,6.847e-44,3.34e-45
4216,6.8e-44,3.32e-45
4217,6.754e-44,3.31e-45
4218,6.698e-44,3.29e-45
4219,6.663e-44,3.28e-45
4220,6.62e-44,3.27e-45
4221,6.562e-44,3.25e-45
4222,6.526e-44,3.24e-45
4223,6.481e-44,3.22e-45
4224,6.439e-44,3.21e-45
4225,6.401e-44,3.2e-45
4226,6.359e-44,3.18e-45
4227,6.313e-44,3.17e-45
4228,6.27e-44,3.15e-45
4229,6.217e-44,3.14e-45
4230,6.177e-44,3.13e-45
4231,6.128e-44,3.11e-45
4232,6.081e-44,3.1e-45
4233,6.034e-44,3.08e-45
4234,5.992e-44,3.07e-45
4235,5.952e-44,3.05e-45
4236,5.899e-44,3.04e-45
4237,5.854e-44,3.02e-45
4238,5.814e-44,3.01e-45
4239,5.765e-44,3e-45
4240,5.729e-44,2.98e-45
4241,5.694e-44,2.97e-45
4242,5.643e-44,2.96e-45
4243,5.599e-44,2.94e-45
4244,5.544e-44,2.93e-45
4245,5.513e-44,2.92e-45
4246,5.473e-44,2.9e-45
4247,5.434e-44,2.89e-45
4248,5.385e-44,2.87e-45
4249,5.345e-44,2.86e-45
4250,5.312e-44,2.85e-45
4251,5.269e-44,2.84e-45
4252,5.223e-44,2.82e-45
4253,5.179e-44,2.81e-45
4254,5.142e-44,2.8e-45
4255,5.09e-44,2.78e-45
4256,5.058e-44,2.77e-45
4257,5.027e-44,2.76e-45
4258,5.003e-44,2.75e-45
4259,4.977e-44,2.74e-45
4260,4.928e-44,2.72e-45
4261,4.878e-44,2.71e-45
4262,4.829e-44,2.69e-45
4263,4.785e-44,2.68e-45
4264,4.738e-44,2.67e-45
4265,4.71e-44,2.66e-45
4266,4.677e-44,2.64e-45
4267,4.638e-44,2.63e-45
4268,4.595e-44,2.62e-45
4269,4.559e-44,2.61e-45
4270,4.521e-44,2.6e-45
4271,4.492e-44,2.58e-45
4272,4.458e-44,2.57e-45
4273,4.425e-44,2.56e-45
4274,4.388e-44,2.55e-45
4275,4.351e-44,2.54e-45
4276,4.322e-44,2.53e-45
4277,4.288e-44,2.52e-45
4278,4.252e-44,2.51e-45
4279,4.218e-44,2.49e-45
4280,4.19e-44,2.48e-45
4281,4.154e-44,2.47e-45
4282,4.118e-44,2.46e-45
4283,4.086e-44,2.45e-45
4284,4.051e-44,2.44e-45
4285,4.026e-44,2.43e-45
4286,3.999e-44,2.42e-45
4287,3.971e-44,2.41e-45
4288,3.931e-44,2.4e-45
4289,3.902e-44,2.39e-45
4290,3.864e-44,2.38e-45
4291,3.834e-44,2.37e-45
4292,3.809e-44,2.36e-45
4293,3.783e-44,2.35e-45
4294,3.763e-44,2.34e-45
4295,3.725e-44,2.33e-45
4296,3.695e-44,2.32e-45
4297,3.676e-44,2.31e-45
4298,3.646e-44,2.3e-45
4299,3.618e-44,2.29e-45
4300,3.584e-44,2.28e-45
4301,3.562e-44,2.28e-45
4302,3.534e-44,2.27e-45
4303,3.51e-44,2.26e-45
4304,3.482e-44,2.25e-45
4305,3.454e-44,2.24e-45
4306,3.425e-44,2.23e-45
4307,3.406e-44,2.22e-45
4308,3.387e-44,2.21e-45
4309,3.355e-44,2.2e-45
4310,3.331e-44,2.2e-45
4311,3.305e-44,2.19e-45
4312,3.274e-44,2.18e-45
4313,3.259e-44,2.17e-45
4314,3.227e-44,2.16e-45
4315,3.203e-44,2.16e-45
4316,3.183e-44,2.15e-45
4317,3.168e-44,2.14e-45
4318,3.144e-44,2.13e-45
4319,3.115e-44,2.12e-45
4320,3.095e-44,2.12e-45
4321,3.077e-44,2.11e-45
4322,3.052e-44,2.1e-45
4323,3.029e-44,2.09e-45
4324,3.009e-44,2.09e-45
4325,2.984e-44,2.08e-45
4326,2.966e-44,2.07e-45
4327,2.941e-44,2.06e-45
4328,2.924e-44,2.06e-45
4329,2.909e-44,2.05e-45
4330,2.883e-44,2.04e-45
4331,2.873e-44,2.04e-45
4332,2.853e-44,2.03e-45
4333,2.83e-44,2.02e-45
4334,2.813e-44,2.02e-45
4335,2.788e-44,2.01e-45
4336,2.766e-44,2e-45
4337,2.756e-44,2e-45
4338,2.732e-44,1.99e-45
4339,2.717e-44,1.98e-45
4340,2.702e-44,1.98e-45
4341,2.681e-44,1.97e-45
4342,2.664e-44,1.96e-45
4343,2.635e-44,1.96e-45
4344,2.622e-44,1.95e-45
4345,2.609e-44,1.95e-45
4346,2.593e-44,1.94e-45
4347,2.57e-44,1.93e-45
4348,2.549e-44,1.93e-45
4349,2.532e-44,1.92e-45
4350,2.52e-44,1.92e-45
4351,2.503e-44,1.91e-45
4352,2.493e-44,1.9e-45
4353,2.474e-44,1.9e-45
4354,2.461e-44,1.89e-45
4355,2.453e-44,1.89e-45
