temperature,wavenumber,cia_coefficient,uncertainty
77,1490,9.85805220872e-13,4.23896244975e-13
77,1495,9.59040218551e-13,4.12387293977e-13
77,1500,9.3301255353e-13,4.01195398018e-13
77,1505,9.07702633183e-13,3.90312132269e-13
77,1510,8.83091114753e-13,3.79729179344e-13
77,1515,8.59158935503e-13,3.69438342266e-13
77,1520,8.35887387103e-13,3.59431576454e-13
77,1525,8.13258212011e-13,3.49701031165e-13
77,1530,7.91253696183e-13,3.40239089359e-13
77,1535,7.69856734851e-13,3.31038395986e-13
77,1540,7.49050855432e-13,3.22091867836e-13
77,1545,7.28820192112e-13,3.13392682608e-13
77,1550,7.09149417572e-13,3.04934249556e-13
77,1555,6.90023646583e-13,2.96710168031e-13
77,1560,6.71428331666e-13,2.88714182616e-13
77,1565,6.53349171822e-13,2.80940143884e-13
77,1570,6.35772051681e-13,2.73381982223e-13
77,1575,6.18683021122e-13,2.66033699082e-13
77,1580,6.02068316489e-13,2.5888937609e-13
77,1585,5.85914415776e-13,2.51943198784e-13
77,1590,5.70208113447e-13,2.45189488782e-13
77,1595,5.54936597281e-13,2.38622736831e-13
77,1600,5.40087510069e-13,2.3223762933e-13
77,1605,5.25648983044e-13,2.26029062709e-13
77,1610,5.11609634384e-13,2.19992142785e-13
77,1615,4.97958533617e-13,2.14122169455e-13
77,1620,4.84685139659e-13,2.08414610053e-13
77,1625,4.71779225152e-13,2.02865066816e-13
77,1630,4.59230801812e-13,1.97469244779e-13
77,1635,4.47030060422e-13,1.92222925982e-13
77,1640,4.35167335315e-13,1.87121954185e-13
77,1645,4.23633097571e-13,1.82162231955e-13
77,1650,4.1241797504e-13,1.77339729267e-13
77,1655,4.01512791914e-13,1.72650500523e-13
77,1660,3.90908617025e-13,1.68090705321e-13
77,1665,3.80596808887e-13,1.63656627821e-13
77,1670,3.70569046911e-13,1.59344690172e-13
77,1675,3.60817341623e-13,1.55151456898e-13
77,1680,3.51334021473e-13,1.51073629233e-13
77,1685,3.4211169872e-13,1.47108030449e-13
77,1690,3.33143221074e-13,1.43251585062e-13
77,1695,3.24421618363e-13,1.39501295896e-13
77,1700,3.15940054076e-13,1.35854223253e-13
77,1705,3.07691790268e-13,1.32307469815e-13
77,1710,2.99670171276e-13,1.28858173649e-13
77,1715,2.91868627776e-13,1.25503509944e-13
77,1720,2.84280698722e-13,1.22240700451e-13
77,1725,2.76900065358e-13,1.19067028104e-13
77,1730,2.69720589516e-13,1.15979853492e-13
77,1735,2.62736348004e-13,1.12976629642e-13
77,1740,2.55941656072e-13,1.10054912111e-13
77,1745,2.49331075443e-13,1.0721236244e-13
77,1750,2.42899405592e-13,1.04446744405e-13
77,1755,2.36641660221e-13,1.01755913895e-13
77,1760,2.30553033617e-13,9.91378044552e-14
77,1765,2.2462886323e-13,9.65904111889e-14
77,1770,2.18864595155e-13,9.41117759165e-14
77,1775,2.13255758219e-13,9.16999760342e-14
77,1780,2.07797950394e-13,8.93531186694e-14
77,1785,2.02486838614e-13,8.7069340604e-14
77,1790,1.97318170456e-13,8.48468132959e-14
77,1795,1.92287793924e-13,8.26837513872e-14
77,1800,1.87391680255e-13,8.05784225098e-14
77,1805,1.8262594437e-13,7.8529156079e-14
77,1810,1.7798685835e-13,7.65343490904e-14
77,1815,1.73470854947e-13,7.45924676272e-14
77,1820,1.69074520179e-13,7.27020436771e-14
77,1825,1.64794576247e-13,7.08616677862e-14
77,1830,1.60627857784e-13,6.90699788473e-14
77,1835,1.56571285612e-13,6.73256528131e-14
77,1840,1.52621842436e-13,6.56273922477e-14
77,1845,1.48776554407e-13,6.39739183951e-14
