database,isotope,doi,created date,version(publication_date)
MoLLIST,7Li-37Cl,10.5281/zenodo.5716997,2021-11-21T10:46:20.314547,20180709
MoLLIST,6Li-19F,10.5281/zenodo.5716999,2021-11-21T10:46:24.874877,20180706
MoLLIST,7Li-19F,10.5281/zenodo.5717001,2021-11-21T10:46:29.456823,20180706
MoLLIST,24Mg-19F,10.5281/zenodo.5717003,2021-11-21T10:46:50.392791,20180716
MoLLIST,25Mg-19F,10.5281/zenodo.5717005,2021-11-21T10:46:55.590714,20180716
MoLLIST,26Mg-19F,10.5281/zenodo.5717007,2021-11-21T10:47:00.158981,20180716
WCCRMT,14N2,10.5281/zenodo.5717009,2021-11-21T10:47:04.700011,20190916
SNaSH,14N-32S,10.5281/zenodo.5717011,2021-11-21T10:47:09.978898,20180101
SNaSH,14N-33S,10.5281/zenodo.5717015,2021-11-21T10:47:35.551505,20180101
SNaSH,14N-34S,10.5281/zenodo.5717017,2021-11-21T10:47:40.824845,20180101
SNaSH,14N-36S,10.5281/zenodo.5717019,2021-11-21T10:47:45.664869,20180101
SNaSH,15N-32S,10.5281/zenodo.5717021,2021-11-21T10:47:50.246451,20180101
Barton,23Na-35Cl,10.5281/zenodo.5717023,2021-11-21T10:47:54.920574,20160726
Barton,23Na-37Cl,10.5281/zenodo.5717025,2021-11-21T10:48:18.219137,20160726
MoLLIST,23Na-19F,10.5281/zenodo.5717027,2021-11-21T10:48:23.782505,20180713
YYLT,31P-14N,10.5281/zenodo.5717029,2021-11-21T10:48:45.994858,20160726
YYLT,31P-15N,10.5281/zenodo.5717033,2021-11-21T10:49:18.745778,20160726
POPS,31P-32S,10.5281/zenodo.5717035,2021-11-21T10:49:24.988355,20170910
UCTY,28Si-32S,10.5281/zenodo.5717037,2021-11-21T10:49:51.378931,20180601
UCTY,28Si-33S,10.5281/zenodo.5717039,2021-11-21T10:50:19.274654,20180601
UCTY,28Si-34S,10.5281/zenodo.5717041,2021-11-21T10:50:23.533197,20180601
UCTY,28Si-36S,10.5281/zenodo.5717043,2021-11-21T10:50:28.276682,20180601
UCTY,29Si-32S,10.5281/zenodo.5717045,2021-11-21T10:50:32.749118,20180601
UCTY,29Si-33S,10.5281/zenodo.5717047,2021-11-21T10:50:36.887254,20180601
UCTY,29Si-34S,10.5281/zenodo.5717049,2021-11-21T10:50:41.217688,20180601
UCTY,29Si-36S,10.5281/zenodo.5717051,2021-11-21T10:50:45.262924,20180601
UCTY,30Si-32S,10.5281/zenodo.5717053,2021-11-21T10:50:49.442732,20180601
UCTY,30Si-33S,10.5281/zenodo.5717055,2021-11-21T10:50:53.529973,20180601
UCTY,30Si-34S,10.5281/zenodo.5717057,2021-11-21T10:50:57.986715,20180601
UCTY,30Si-36S,10.5281/zenodo.5717059,2021-11-21T10:51:02.177486,20180601
POKAZATEL,1H2-16O,10.5281/zenodo.5722861,2021-11-24T05:54:32.076762,20180501
Li2015,12C-17O,10.5281/zenodo.5722864,2021-11-24T05:56:02.067053,20190722
AlHambra,26Al-1H,10.5281/zenodo.5362911,2021-09-01T16:11:57.039170,20180515
MoLLIST,48Ti-1H,10.5281/zenodo.5363278,2021-09-01T16:40:27.533239,20160726
LYT,45Sc-1H,10.5281/zenodo.5363276,2021-09-01T16:39:42.231044,20160726
Rivlin,23Na-2H,10.5281/zenodo.5363271,2021-09-01T16:36:46.620274,20160804
Rivlin,23Na-1H,10.5281/zenodo.5363263,2021-09-01T16:35:39.372297,20160804
Yadin,26Mg-1H,10.5281/zenodo.5362941,2021-09-01T16:16:36.803793,20160726
Yadin,25Mg-1H,10.5281/zenodo.5362939,2021-09-01T16:16:32.079991,20160726
MoLLIST,24Mg-1H,10.5281/zenodo.5362933,2021-09-01T16:16:07.207271,20160726
CLT,7Li-1H,10.5281/zenodo.5362931,2021-09-01T16:15:25.969089,20160927
MoLLIST,56Fe-1H,10.5281/zenodo.5362929,2021-09-01T16:14:43.024739,20160726
MoLLIST,52Cr-1H,10.5281/zenodo.5362927,2021-09-01T16:14:19.058862,20160726
MoLLIST,40Ca-1H,10.5281/zenodo.5362925,2021-09-01T16:13:31.442589,20191210
Darby-Lewis,9Be-3H,10.5281/zenodo.5362923,2021-09-01T16:13:27.379070,20180212
Darby-Lewis,9Be-2H,10.5281/zenodo.5362921,2021-09-01T16:13:21.142555,20180212
Darby-Lewis,9Be-1H,10.5281/zenodo.5362917,2021-09-01T16:12:45.291091,20180212
AlHambra,27Al-2H,10.5281/zenodo.5362915,2021-09-01T16:12:41.361352,20180515
AlHambra,27Al-1H,10.5281/zenodo.5362913,2021-09-01T16:12:01.489786,20180515
