temperature,wavenumber,cia_coefficient,uncertainty
296,9122.71,5.36776853356376E-8,2.94204329493894E-10
296,9122.72,5.36874976416497E-8,2.94101019614489E-10
296,9122.73,5.37004671689931E-8,2.93948311074519E-10
296,9122.74,5.37149637913945E-8,2.9399704289181E-10
296,9122.75,5.37308115493958E-8,2.94130275580021E-10
296,9122.76,5.37450692909204E-8,2.94129287955672E-10
296,9122.77,5.37546269109428E-8,2.94024878882748E-10
296,9122.78,5.37609138483156E-8,2.9390482915161E-10
296,9122.79,5.3769416259392E-8,2.93907597183807E-10
296,9122.8,5.37813553492345E-8,2.94273848160912E-10
296,9122.81,5.3795316770389E-8,2.94695616377304E-10
296,9122.82,5.38077807331969E-8,2.94874699233384E-10
296,9122.83,5.38145108175873E-8,2.9500089278636E-10
296,9122.84,5.38218624046533E-8,2.9526468817657E-10
296,9122.85,5.38375777203486E-8,2.95436086084132E-10
296,9122.86,5.38545429032586E-8,2.95823283533968E-10
296,9122.87,5.38672706730343E-8,2.9612876172751E-10
296,9122.88,5.38786229459306E-8,2.96272491665229E-10
296,9122.89,5.38905328684465E-8,2.96449894544986E-10
296,9122.9,5.39048327383556E-8,2.96756407544894E-10
296,9122.91,5.39231800242176E-8,2.96923837860072E-10
296,9122.92,5.39356784873474E-8,2.97289036958935E-10
296,9122.93,5.39434364812894E-8,2.97388081568009E-10
296,9122.94,5.39568162220558E-8,2.97336454511266E-10
296,9122.95,5.39754137321223E-8,2.97457774383531E-10
296,9122.96,5.39870785184928E-8,2.97544814785971E-10
296,9122.97,5.3998574590457E-8,2.97741137019434E-10
296,9122.98,5.4022335501705E-8,2.97966647989147E-10
296,9122.99,5.40359102756908E-8,2.98301780159958E-10
296,9123,5.40380911523041E-8,2.98994587336365E-10
296,9123.01,5.40398696537374E-8,2.99324042369449E-10
296,9123.02,5.40416430998382E-8,2.99504272676853E-10
296,9123.03,5.40392362959374E-8,2.99641555268041E-10
296,9123.04,5.40309285812884E-8,2.99590116412977E-10
296,9123.05,5.40320804060342E-8,2.99475424975402E-10
296,9123.06,5.40338718914659E-8,2.99624922787092E-10
296,9123.07,5.40301202909958E-8,2.99702005422505E-10
296,9123.08,5.40264959637215E-8,2.99695368162641E-10
296,9123.09,5.40308561809125E-8,2.99628430407838E-10
296,9123.1,5.40399384474597E-8,2.9959128918776E-10
296,9123.11,5.40491948734992E-8,2.99730309987884E-10
296,9123.12,5.40627338742964E-8,2.99750978718606E-10
296,9123.13,5.40825334146117E-8,2.99769217117021E-10
296,9123.14,5.40972173969688E-8,2.99790153372144E-10
296,9123.15,5.41077535380537E-8,2.99657622147794E-10
296,9123.16,5.41242994256344E-8,2.99800512466717E-10
296,9123.17,5.41477982971688E-8,3.00082636711758E-10
296,9123.18,5.41673155026623E-8,3.00238365178647E-10
296,9123.19,5.41790640315495E-8,3.00250810196533E-10
296,9123.2,5.41923432726635E-8,3.00272953017021E-10
296,9123.21,5.42101720825624E-8,3.00472716783685E-10
